"country","iso_code","region","income_group","year","arima_model","forecast_coverage","lower_ci","upper_ci","reported_coverage","delta","lower_delta","upper_delta","within_ci","surviving_infants","missed_immunisations"
"Democratic Republic of the Congo","COD","Africa","LIC",2022,"ARIMA(0,1,0)",0.73,0.531593999946345,0.928406000053655,0.65,-0.08,0.118406000053655,-0.278406000053655,TRUE,3965786,1388025
"Congo","COG","Africa","LMIC",2020,"ARIMA(0,1,0)",0.79,0.64625360236836,0.93374639763164,0.73,-0.0600000000000001,0.0837463976316404,-0.20374639763164,TRUE,172741,46640
"Congo","COG","Africa","LMIC",2021,"ARIMA(0,1,0)",0.79,0.586711894927058,0.99,0.77,-0.02,0.183288105072942,-0.22,TRUE,174283,40085
"Congo","COG","Africa","LMIC",2022,"ARIMA(0,1,0)",0.79,0.541023935897,0.99,0.78,-0.01,0.238976064103,-0.21,TRUE,174567,38405
"Colombia","COL","Americas","UMIC",2020,"ARIMA(1,0,0) with non-zero mean",0.92758254791425,0.8600071586324,0.99,0.88,-0.0475825479142503,0.0199928413675998,-0.11,TRUE,726305,87157
"Colombia","COL","Americas","UMIC",2021,"ARIMA(1,0,0) with non-zero mean",0.918113707164459,0.833133207757052,0.99,0.86,-0.0581137071644587,0.0268667922429479,-0.13,TRUE,723229,101252
"Colombia","COL","Americas","UMIC",2022,"ARIMA(1,0,0) with non-zero mean",0.910893309249833,0.81726831579183,0.99,0.87,-0.0408933092498327,0.0527316842081696,-0.12,TRUE,716393,93131
"Comoros","COM","Africa","LMIC",2020,"ARIMA(0,1,0)",0.91,0.783857913968004,0.99,0.91,0,0.126142086031996,-0.08,TRUE,23208,2089
"Comoros","COM","Africa","LMIC",2021,"ARIMA(0,1,0)",0.91,0.731608151147517,0.99,0.91,0,0.178391848852483,-0.08,TRUE,23279,2095
"Comoros","COM","Africa","LMIC",2022,"ARIMA(0,1,0)",0.91,0.691515498019858,0.99,0.88,-0.03,0.188484501980142,-0.11,TRUE,23300,2796
"Cabo Verde","CPV","Africa","LMIC",2020,"ARIMA(1,0,0) with non-zero mean",0.953835617568708,0.904112701601977,0.99,0.93,-0.0238356175687079,0.0258872983980232,-0.0599999999999999,TRUE,9903,693
"Cabo Verde","CPV","Africa","LMIC",2021,"ARIMA(1,0,0) with non-zero mean",0.950089162277031,0.891903358206817,0.99,0.93,-0.0200891622770312,0.0380966417931832,-0.0599999999999999,TRUE,9876,691
"Cabo Verde","CPV","Africa","LMIC",2022,"ARIMA(1,0,0) with non-zero mean",0.947812222549658,0.886796618655373,0.99,0.93,-0.0178122225496575,0.0432033813446266,-0.0599999999999999,TRUE,9809,687
"Costa Rica","CRI","Americas","UMIC",2020,"ARIMA(0,1,0)",0.95,0.887531848088232,0.99,0.97,0.02,0.0824681519117678,-0.02,TRUE,61865,1856
"Costa Rica","CRI","Americas","UMIC",2021,"ARIMA(0,1,0)",0.95,0.861656692349995,0.99,0.93,-0.0199999999999999,0.0683433076500048,-0.0599999999999999,TRUE,60831,4258
"Costa Rica","CRI","Americas","UMIC",2022,"ARIMA(0,1,0)",0.95,0.841801987033887,0.99,0.95,0,0.108198012966113,-0.04,TRUE,60159,3008
"Cuba","CUB","Americas","UMIC",2020,"ARIMA(0,1,0)",0.99,0.846253044263249,0.99,0.99,0,0.143746955736751,0,TRUE,105244,1052
"Cuba","CUB","Americas","UMIC",2021,"ARIMA(0,1,0)",0.99,0.786711105647241,0.99,0.99,0,0.203288894352759,0,TRUE,100100,1001
"Cuba","CUB","Americas","UMIC",2022,"ARIMA(0,1,0)",0.99,0.741022969230592,0.99,0.99,0,0.248977030769408,0,TRUE,99349,993
"Cyprus","CYP","Asia","HIC",2020,"ARIMA(0,0,0) with non-zero mean",0.9785,0.959133851954359,0.99,0.96,-0.0184999999999998,0.000866148045640558,-0.03,TRUE,13055,522
"Cyprus","CYP","Asia","HIC",2021,"ARIMA(0,0,0) with non-zero mean",0.9785,0.959133851954359,0.99,0.96,-0.0184999999999998,0.000866148045640558,-0.03,TRUE,12795,512
"Cyprus","CYP","Asia","HIC",2022,"ARIMA(0,0,0) with non-zero mean",0.9785,0.959133851954359,0.99,0.96,-0.0184999999999998,0.000866148045640558,-0.03,TRUE,12494,500
"Czechia","CZE","Europe","HIC",2020,"ARIMA(1,0,0) with non-zero mean",0.971907089731354,0.958774629510719,0.985039549951989,0.97,-0.00190708973135423,0.0112253704892806,-0.0150395499519891,TRUE,106811,3204
"Czechia","CZE","Europe","HIC",2021,"ARIMA(1,0,0) with non-zero mean",0.973318358777778,0.956981147695299,0.989655569860256,0.94,-0.0333183587777779,-0.0169811476952993,-0.0496555698602564,FALSE,103737,6224
"Czechia","CZE","Europe","HIC",2022,"ARIMA(1,0,0) with non-zero mean",0.974362714629864,0.956512698170992,0.99,0.94,-0.0343627146298642,-0.0165126981709918,-0.05,FALSE,101350,6081
"Germany","DEU","Europe","HIC",2020,"ARIMA(1,0,0) with non-zero mean",0.912570263074845,0.885682562383323,0.939457963766368,0.91,-0.00257026307484531,0.0243174376166773,-0.0294579637663679,TRUE,758344,68251
"Germany","DEU","Europe","HIC",2021,"ARIMA(1,0,0) with non-zero mean",0.914748671458323,0.879502915135732,0.949994427780913,0.91,-0.00474867145832258,0.0304970848642679,-0.0399944277809131,TRUE,761164,68505
"Germany","DEU","Europe","HIC",2022,"ARIMA(1,0,0) with non-zero mean",0.916594966155409,0.876404142283269,0.95678579002755,0.91,-0.00659496615540933,0.0335958577167309,-0.0467857900275496,TRUE,759263,68334
"Djibouti","DJI","Africa","LMIC",2020,"ARIMA(0,1,0)",0.85,0.710319615013602,0.989680384986398,0.7,-0.15,-0.0103196150136021,-0.289680384986398,FALSE,23678,7103
