"country","iso_code","region","income_group","gavi_status","predicts_2020","predicts_lower","predicts_upper","actuals_2020","cov_delta_mean","cov_delta_high","cov_delta_low","confidence_95_level","ci_width"
"Paraguay","PRY","Latin America & Caribbean","Upper middle income","Never Gavi",0.880554932716614,0.829888992973964,0.931220872459264,0.79,-0.0905549327166137,-0.141220872459264,-0.039888992973964,TRUE,0.1013318794853
"Philippines","PHL","East Asia & Pacific","Lower middle income","Never Gavi",0.795118189239116,0.632993199925837,0.957243178552394,0.71,-0.0851181892391156,-0.247243178552395,0.0770068000741633,FALSE,0.324249978626558
"Qatar","QAT","Middle East & North Africa","High income","Never Gavi",0.949,0.862532133382799,1.0354678666172,0.82,-0.129,-0.2154678666172,-0.0425321333827995,TRUE,0.1729357332344
"Republic of Moldova","MDA","Eastern Europe & Central Asia","Upper middle income","Fully self-financing",0.91,0.85641672385461,0.96358327614539,0.86,-0.05,-0.10358327614539,0.00358327614538967,FALSE,0.107166552290779
"Romania","ROU","Eastern Europe & Central Asia","Upper middle income","Never Gavi",0.88,0.82814231654896,0.93185768345104,0.87,-0.01,-0.0618576834510399,0.0418576834510399,FALSE,0.10371536690208
"Russian Federation","RUS","Eastern Europe & Central Asia","Upper middle income","Never Gavi",0.969988955661013,0.960255646998598,0.979722264323427,0.97,1.10443389872428e-05,-0.00972226432342704,0.00974435300140153,FALSE,0.0194666173248286
"Rwanda","RWA","Eastern & Southern Africa","Low income","Initial self-financing",0.977454399631654,0.889916687219957,1.06499211204335,0.91,-0.0674543996316536,-0.154992112043351,0.0200833127800435,FALSE,0.175075424823394
"Saint Kitts and Nevis","KNA","Latin America & Caribbean","High income","Never Gavi",0.977999999999999,0.952091615577085,1.00390838442291,0.99,0.0120000000000006,-0.0139083844229135,0.0379083844229147,FALSE,0.0518167688458282
"Saint Lucia","LCA","Latin America & Caribbean","Upper middle income","Never Gavi",0.944679856932445,0.788604772602545,1.10075494126234,0.86,-0.0846798569324448,-0.240754941262344,0.0713952273974546,FALSE,0.312150168659799
"Saint Vincent and the Grenadines","VCT","Latin America & Caribbean","Upper middle income","Never Gavi",0.981852094462693,0.965092969084166,0.998611219841221,0.97,-0.0118520944626934,-0.0286112198412207,0.00490703091583389,FALSE,0.0335182507570546
"Samoa","WSM","East Asia & Pacific","Lower middle income","Never Gavi",0.644291518087239,0.34817139026886,0.940411645905617,0.79,0.145708481912762,-0.150411645905617,0.44182860973114,FALSE,0.592240255636757
"San Marino","SMR","Western Europe","High income","Never Gavi",0.88,0.844592051129079,0.915407948870921,0.89,0.01,-0.0254079488709207,0.0454079488709207,FALSE,0.0708158977418414
"Saudi Arabia","SAU","Middle East & North Africa","High income","Never Gavi",0.96,0.941455676271626,0.978544323728374,0.95,-0.01,-0.0285443237283741,0.0085443237283741,FALSE,0.0370886474567482
"Senegal","SEN","West & Central Africa","Lower middle income","Preparatory transition phase",0.972631578947358,0.870821696284434,1.07444146161028,0.91,-0.0626315789473577,-0.164441461610282,0.0391783037155663,FALSE,0.203619765325848
