"Country","ISO code","Region","Income group","Gavi eligibility status","ARIMA modelled expected 2020 coverage (mean)","ARIMA modelled expected coverage (lower bound)","ARIMA modelled expected coverage (upper bound)","WUENIC reported 2020 coverage","Coverage delta","cov_delta_high","cov_delta_low","confident_95","ci_width","un_region","Data unreliable flag","Surviving infants","Additional missed children (mean)","Additional missed children (lower bound)","Additional missed children (upper bound)","Expected missed children","Total missed children"
"Mali","MLI","West & Central Africa","LIC","Initial self-financing","75.5%",0.674405858392228,0.835019806512758,"70.0%","-5.5%",-0.135019806512758,0.0255941416077718,FALSE,0.16061394812053,"Africa",FALSE,772691,42276,-19776,104328,189531,231807
"Malta","MLT","Western Europe","HIC","Never Gavi","96.6%",0.861760398091819,1.06976507136991,"98.0%","1.4%",-0.0897650713699143,0.118239601908181,FALSE,0.208004673278095,"Europe",FALSE,4321,-61,-510,387,147,86
"Mauritania","MRT","West & Central Africa","LMIC","Preparatory transition phase","74.1%",0.579967948739401,0.903032051260599,"71.0%","-3.1%",-0.193032051260599,0.130032051260599,FALSE,0.323064102521198,"Africa",FALSE,145100,4570,-18867,28008,37508,42079
"Mauritius","MUS","Eastern & Southern Africa","UMIC","Never Gavi","95.9%",0.901466115593037,1.01602695116768,"93.0%","-2.9%",-0.0860269511676767,0.0285338844069633,FALSE,0.11456083557464,"Africa",FALSE,12588,361,-359,1082,519,881
"Mexico","MEX","Latin America & Caribbean","UMIC","Never Gavi","82.0%",0.726649926113719,0.913350073886281,"74.0%","-8.0%",-0.173350073886281,0.0133500738862806,FALSE,0.186700147772561,"Americas",FALSE,2163632,173090,-28884,375065,389453,562544
"Micronesia (Federated States of)","FSM","East Asia & Pacific","LMIC","Never Gavi","80.2%",0.657510766119892,0.947489233880108,"83.0%","2.8%",-0.117489233880108,0.172489233880108,FALSE,0.289978467760216,"Oceania",FALSE,2544,-69,-438,298,502,432
"Mongolia","MNG","East Asia & Pacific","LMIC","Fully self-financing","97.8%",0.949614502250804,1.0060900110592,"96.0%","-1.8%",-0.0460900110592,0.0103854977491957,FALSE,0.0564755088083957,"Asia",FALSE,72552,1295,-753,3343,1606,2902
"Mozambique","MOZ","Eastern & Southern Africa","LIC","Initial self-financing","88.0%",0.820346810401072,0.939653189598928,"79.0%","-9.0%",-0.149653189598927,-0.0303468104010725,TRUE,0.119306379197855,"Africa",FALSE,1095851,98626,33255,163997,131502,230128
"Myanmar","MMR","East Asia & Pacific","LMIC","Preparatory transition phase","90.0%",0.786960002313465,1.01303999768653,"84.0%","-6.0%",-0.173039997686535,0.0530399976865349,FALSE,0.22607999537307,"Asia",FALSE,905655,54339,-48035,156714,90565,144904
"Nauru","NRU","East Asia & Pacific","HIC","Never Gavi","96.0%",0.663642245408498,1.2563577545915,"95.0%","-1.0%",-0.306357754591502,0.286357754591502,FALSE,0.592715509183003,"Oceania",FALSE,NA,NA,NA,NA,NA,NA
